code	lc	product_name_ca	product_name_cs	product_name_de	product_name_en	product_name_es	product_name_fi	product_name_fr	product_name_it	product_name_pt	generic_name_de	generic_name_en	generic_name_es	generic_name_fr	generic_name_pt	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_cs	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_cs	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fi	ingredients_text_fr	ingredients_text_it	ingredients_text_nl	ingredients_text_pt	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	monounsaturated-fat_value	monounsaturated-fat_unit	polyunsaturated-fat_value	polyunsaturated-fat_unit	trans-fat_value	trans-fat_unit	lactose_value	lactose_unit	starch_value	starch_unit	vitamin-a_value	vitamin-a_unit	vitamin-d_value	vitamin-d_unit	vitamin-b9_value	vitamin-b9_unit	vitamin-b12_value	vitamin-b12_unit	calcium_value	calcium_unit	magnesium_value	magnesium_unit	zinc_value	zinc_unit	cocoa_value	cocoa_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_2_number_of_units	packaging_2_shape	packaging_2_material	packaging_2_recycling	packaging_3_number_of_units	packaging_3_shape	packaging_3_material	packaging_3_recycling	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	data_sources
9339687104734	en				Milk chocolate peanuts											68g				Danone	danone	Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Bars, Chocolate candies, Bars covered with chocolate	en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:bars,en:chocolate-candies,en:bars-covered-with-chocolate	Health Star Rating 0.5	en:health-star-rating-0-5	Australia	en:australia	Woolworths	woolworths	0																							100g	100g			536	kcal	31.2	g	13.2	g	54.4	g	46.8	g	15.7353	g	10.4	g	0.16	g	0.064	g			536	kcal																																								en:biscuits-and-cakes	en:sugary-snacks,en:biscuits-and-cakes		unknown	e	21	unknown		1		-5	-15	1	0	App - yuka, Apps, App - smoothie-openfoodfacts
5601050030129	pt														Iogurte Líquido com Raspas de Chocolate	4				Danone,DanUp	danone,danup	Bebidas, Laticínios, Alimentos Fermentados, Sobremesas, Produtos lácteos fermentados, Sobremesas de laticínios, Bebidas lácteas, en:Fermented dairy desserts, Bebidas fermentadas, Bebidas lácteas fermentadas, Iogurtes, Iogurtes líquidos	en:beverages,en:dairies,en:fermented-foods,en:desserts,en:fermented-milk-products,en:dairy-desserts,en:dairy-drinks,en:fermented-dairy-desserts,en:fermented-drinks,en:fermented-milk-drinks,en:yogurts,en:drinkable-yogurts			Portugal	en:portugal			0																	Leite pasteunzado, do e num modo de sore de lactose concentrada reconstituido, açúcar, raspas de chocolate (0,8%) (manteiga de cacau, cacau em pó, manteiga concentrada de cacau em pó magro e açúcar), xarope de glucose frutose, aroma de baunilha, fermentos lácticos activos e conservante (E202).						100g	100g					3.6	g	2.5	g	14.7	g	14.5	g	0.1	g	1.8	g	0.1	g	0.04	g																																												en:sweetened-beverages	en:beverages,en:sweetened-beverages	4	en:4-ultra-processed-food-and-drink-products			e	17	1	19508	-5	-15	1	0	
5601050036602	pt					griego				Iogurte grego stracciatella						440 g	110			Danone,Oikos	danone,oikos	Laticínios, Alimentos Fermentados, Sobremesas, Produtos lácteos fermentados, Sobremesas de laticínios, en:Fermented dairy desserts, Iogurtes, en:Chocolate chunks yogurts, Iogurtes gregos	en:dairies,en:fermented-foods,en:desserts,en:fermented-milk-products,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts,en:chocolate-chunks-yogurts,en:greek-style-yogurts			Espanha	en:spain			0							ES 15.00783/B EC	es-15-00783-b-ec									Leite pasteurizado, nata pasteurizada, açúcar, raspas de chocolate (2%) [pasta de cacau, manteiga de cacau e açúcar], leite desnatado em pó, aroma e fermentos láticos. Pode conter vestígios de cereais com glúten, frutos de casca rija e ovo.	Leite	en:milk	Ovos, Nozes	en:eggs,en:nuts		100g	100g	717	kJ			10	g	6.3	g	17.5	g	17.2	g			2.9	g	0.1	g	0.04	g			717	kJ																																								en:milk-and-yogurt	en:milk-and-dairy-products,en:milk-and-yogurt	4	en:4-ultra-processed-food-and-drink-products	d	11	c	43	1	19580	-5	-15	1	0	App - Yuka, Apps, App - Open Food Facts
3033491871610	fr							Danette fondant chocolat saveur noisette												Danone,Danette	danone,danette	Produits laitiers, Desserts, Desserts lactés, Desserts au chocolat, Crèmes dessert, Crèmes dessert chocolat, Crèmes dessert rayon frais, Crèmes dessert chocolat réfrigérées	en:dairies,en:desserts,en:dairy-desserts,en:chocolate-desserts,en:creamy-puddings,en:chocolate-creamy-puddings,en:refrigerated-creamy-puddings,en:refrigerated-chocolate-creamy-puddings	Triman	fr:triman	France	en:france			0							FR 14.370.001 EC	fr-14-370-001-ec						Lait entier (82,5%), sucre, cacao maigre, chocolat liquide (2%) (sucre, pâte de cacao, cacao maigre, émulsifiant (lécithine de soja), arôme), crème (lait), stabilisant (pectine de fruit), amidon de maïs, épaississant (amidon transformé de maïs), arôme. Lait:Origine France. Contient: lait, soja.				Lait, Soja	en:milk,en:soybeans				100g	100g			117	kcal	4	g	2.7	g	16.9	g	15.6	g	0.85	g	3.3	g	0.13	g	0.052	g			117	kcal																																								en:dairy-desserts	en:milk-and-dairy-products,en:dairy-desserts	4	en:4-ultra-processed-food-and-drink-products	c	4	b	63	1	39200	-5	-15	1	0	App - Yuka, Apps, App - smoothie-openfoodfacts
3033491834103	fr							"Mousse chocolat à base de lait de coco"												Danone,Danette	danone,danette	Desserts, Desserts au chocolat, Mousses au chocolat végétaliennes	en:desserts,en:chocolate-desserts,en:vegan-chocolate-mousses	Nutriscore, Nutriscore C	en:nutriscore,en:nutriscore-grade-c	France	en:france			0														"Lait de coco (60%) (eau, crème de coco), eau, chocolat en poudre (10,9%) (sucre, cacao en poudre), fibre soluble de maïs, sucre (4,1%), protéines de pois, chocolat noir en poudre (1%) (poudre de cacao, pâte de cacao, sucre), épaississants (amidon transformé de tapioca, agar agar), émulsifiants (mono-diglycérides d'acides gras), sel. Peut contenir: traces de lait, soja, fruits à coque et céréales contenant du gluten."						"Gluten, Lait, Fruits à coque, Soja"	en:gluten,en:milk,en:nuts,en:soybeans		100g	100g			152	kcal	8	g	7.1	g	14.5	g	12	g	6	g	2.7	g	0.22	g	0.088	g			152	kcal																																										4	en:4-ultra-processed-food-and-drink-products	c	3	unknown		1		-5	-15	1	0	App - Yuka, Apps
3033490595401	en				Danette Mousse Liégeoise Chocolat			Danette Mousse Liégeoise Chocolat				Dessert lacté au chocolat		Dessert lacté au chocolat		640 g (8 * 80 g)	Un pot (80 g)	Plastic, Pot, Container, Fresh	en:plastic,en:pot,en:container,en:fresh	Danone, Danette	danone,danette	Dairies, Desserts, Dairy desserts, Chocolate desserts, Creamy puddings, Sweet mousses, Chocolate mousses, Dairy Mousses	en:dairies,en:desserts,en:dairy-desserts,en:chocolate-desserts,en:creamy-puddings,en:sweet-mousses,en:chocolate-mousses,en:dairy-mousses	Green Dot, Nutriscore, Nutriscore Grade D	en:green-dot,en:nutriscore,en:nutriscore-grade-d	France, Switzerland	en:france,en:switzerland	Carrefour,Magasins U,carrefour.fr	carrefour,magasins-u,carrefour-fr	0					France	france	DE BY-601 EC	de-by-601-ec			_Lait_ entier, _crème_, _lactose_, sirop de glucose-fructose, sucre, chocolat (4,8%) (pâte de cacao, sucre, émulsifiant : lécithine de _soja_, arôme naturel de vanille), cacao maigre en poudre, émulsifiant (esters lactiques des mono - et diglycérides d'acides gras), épaississants (amidon transformé, carraghénanes, gomme xanthane), gélatine, arôme, sel,			_Lait_ entier, _crème_, _lactose_, sirop de glucose-fructose, sucre, chocolat (4,8%) (pâte de cacao, sucre, émulsifiant : lécithine de _soja_, arôme naturel de vanille), cacao maigre en poudre, émulsifiant (esters lactiques des mono - et diglycérides d'acides gras), épaississants (amidon transformé, carraghénanes, gomme xanthane), gélatine, arôme, sel,				Milk, Soybeans, Lait, Crème	en:milk,en:soybeans,en:lait,en:creme	Nuts, Peanuts	en:nuts,en:peanuts	off	100g	100g			194	kcal	9.7	g	6.5	g	22.6	g	21.3	g	1.2	g	3.4	g	0.2	g	0.08	g			194	kcal																												en:container	en:plastic			en:pot							https://danette.fr.dan-on.com/danette-mousse-liegeoise/chocolat	en:dairy-desserts	en:milk-and-dairy-products,en:dairy-desserts	4	en:4-ultra-processed-food-and-drink-products	d	11	d	22		39206	-5	-15	1	0	App - yuka, Apps, App - InFood, App - Open Food Facts
8410500025830	es					Natillas Navidad choco avellana														danone	danone	Lácteos, Postres, Postres lácteos, Postres de chocolate, Postres de cremas, Postres lácteos con chocolate	en:dairies,en:desserts,en:dairy-desserts,en:chocolate-desserts,en:creamy-puddings,en:dairy-chocolate-desserts			España	en:spain			0							FR 38.408.002 EC	fr-38-408-002-ec			pasteurized milk, sugar, degreased cocoa, pasteurized cream, chocolate (2%) (sugar, poop paste, degreased cocoa, emulsifier (soy lecithin) and flavouring], dairy solids, modified corn starch and starch, thickener (carrageenans) and hazelnut flavour, may contain almond, hazelnut and walnut,	Leche pasteurizada, azúcar, cacao desgrasado, nata pasteurizada, chocolate (2%) (azúcar, pasta de caca0, cacao desgrasado, emulgente (lecitina de soja) y aroma], sólidos lácteos, almidón y almidón modificado de maíz, espesante (carragenanos) y aroma a avellana, Puede contener almendra, avellana y nuez,						Leche, Soja	en:milk,en:soybeans	Frutos de cáscara	en:nuts		100g	100g			134	kcal	4.2	g	2.8	g	20.3	g	18.2	g			3.3	g	0.11	g	0.044	g			134	kcal																																								en:dairy-desserts	en:milk-and-dairy-products,en:dairy-desserts	4	en:4-ultra-processed-food-and-drink-products	c	5	unknown		1		-5	-15	1	0	App - yuka, Apps, App - InFood
8595002109575	cs		"Kostíci kapsička ČOKO"													130g	130g	"Umělá hmota"	en:plastic	Danone	danone	"Mléčné výrobky, en:Fermented foods, en:Desserts, en:Fermented milk products, en:Dairy desserts, en:Fermented dairy desserts, Jogurt, en:Chocolate chunks yogurts"	en:dairies,en:fermented-foods,en:desserts,en:fermented-milk-products,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts,en:chocolate-chunks-yogurts	Vegetariánské	en:vegetarian	"Česko"	en:czech-republic			0		en:Milk from Czechia	en:milk-from-czechia																				100g	100g	464	kJ	110	kcal	3.1	g	1.9	g	14.5	g	14.1	g	0	g	5.8	g	0.08	g	0.032	g			464	kJ																													en:plastic											en:milk-and-yogurt	en:milk-and-dairy-products,en:milk-and-yogurt		unknown	b	2	c	48		19580	-5	-10	1	0	App - Open Food Facts, Apps
8410500028428	fr							con bolitas de Chocolate												Danone	danone			Nutriscore, Nutriscore C	en:nutriscore,en:nutriscore-grade-c	France	en:france			0																							100g	100g			143	kcal	4.2	g	2.7	g	22.9	g	19.2	g			3.5	g	0.2	g	0.08	g			143	kcal																																											unknown			unknown		1		-5	-15	1	0	App - Yuka, Apps
3033491377105	fr							Le Liégeois								10400 g	100g	4x100	fr:4x100	Danone	danone	Produits laitiers, Desserts, Desserts lactés, Desserts au chocolat, Desserts lactés au chocolat, Liégeois	en:dairies,en:desserts,en:dairy-desserts,en:chocolate-desserts,en:dairy-chocolate-desserts,en:liegeois			France	en:france	carrefour.fr	carrefour-fr	0														Lait entier, crème (lait), eau, sucre perméat de petit lait (lactosérum) en poudre, chocolat (2,0%) (Sucre, pâte de cacao, cacao maigre, émulsifiant (lécithine de soja), arôme), cacao maigre, épaississants (amidon transformé, carraghénanes), amidon, gélatine (non porcine), émulsifiant (esters lactiques des mono - et diglycérides d'acides gras), arôme (lait), sel.				Lait, Soja	en:milk,en:soybeans	"Œufs, Gluten, Lait, Fruits à coque"	en:eggs,en:gluten,en:milk,en:nuts		100g	100g			157	kcal	7.6	g	5.2	g	19	g	17	g			2.8	g	0.14	g	0.056	g			157	kcal																																								en:dairy-desserts	en:milk-and-dairy-products,en:dairy-desserts	4	en:4-ultra-processed-food-and-drink-products	c	8	c	53	1	19681	-5	-15	1	0	App - off, App - yuka, Apps
