code	producer_version_id	lc	product_name_de	product_name_en	product_name_es	product_name_fi	product_name_fr	product_name_hu	product_name_it	product_name_nb	product_name_pl	product_name_ru	product_name_se	product_name_sv	abbreviated_product_name_fr	generic_name_de	generic_name_en	generic_name_fr	generic_name_nl	generic_name_sv	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_it	origin_sv	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fi	ingredients_text_fr	ingredients_text_it	ingredients_text_nb	ingredients_text_nl	ingredients_text_pl	ingredients_text_sv	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kj_prepared_value	energy-kj_prepared_unit	energy-kcal_value	energy-kcal_unit	energy-kcal_prepared_value	energy-kcal_prepared_unit	fat_value	fat_unit	fat_prepared_value	fat_prepared_unit	saturated-fat_value	saturated-fat_unit	saturated-fat_prepared_value	saturated-fat_prepared_unit	carbohydrates_value	carbohydrates_unit	carbohydrates_prepared_value	carbohydrates_prepared_unit	sugars_value	sugars_unit	sugars_prepared_value	sugars_prepared_unit	fiber_value	fiber_unit	fiber_prepared_value	fiber_prepared_unit	proteins_value	proteins_unit	proteins_prepared_value	proteins_prepared_unit	salt_value	salt_unit	salt_prepared_value	salt_prepared_unit	sodium_value	sodium_unit	sodium_prepared_value	sodium_prepared_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	energy_prepared_value	energy_prepared_unit	monounsaturated-fat_value	monounsaturated-fat_unit	polyunsaturated-fat_value	polyunsaturated-fat_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	vitamin-a_value	vitamin-a_unit	vitamin-c_value	vitamin-c_unit	potassium_value	potassium_unit	calcium_value	calcium_unit	iron_value	iron_unit	fruits-vegetables-nuts_value	fruits-vegetables-nuts_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_1_quantity_per_unit	packaging_2_shape	packaging_2_material	packaging_2_recycling	packaging_3_shape	packaging_3_material	conservation_conditions_fr	preparation_fr	customer_service_fr	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	sources_fields:org-gs1:gln	sources_fields:org-gs1:gpcCategoryCode	sources_fields:org-gs1:gpcCategoryName	sources_fields:org-gs1:isAllergenRelevantDataProvided	sources_fields:org-gs1:lastChangeDateTime	sources_fields:org-gs1:partyName	sources_fields:org-gs1:productionVariantDescription	sources_fields:org-gs1:publicationDateTime	data_sources
0794711001905		en		Zweet Sour Strawberry Spagetti																	10 oz											United States	en:united-states			0																									100g	100g					376.66666666667	kcal			1.6666666666667	g			1.6666666666667	g			86.666666666667	g			60	g			0	g			3.3333333333333	g			0	g			0	g					376.66666666667	kcal																																								unknown			unknown		1		-5	-15	1	0																App - Yuka, Apps
0884084000022		fr					Sauce spagetti																									Canada	en:canada			0																									100g	100g					80	kcal			1.6	g			0.8	g			8.8	g			0	g			1.6	g			6.4	g			0.88	g			0.352	g					80	kcal																																								unknown			unknown		1		-5	-15	1	0																App - Yuka, Apps
5999086440778		en		Száraztészta, Spagetti, 4 tojásos																		100g			Auchan	auchan						Hungary	en:hungary	Auchan	auchan	0																									serving	100g					348	kcal			1.5	g			0.6	g			70	g			4.4	g			3.2	g			12	g			0.08	g			0.032	g					348	kcal																																								unknown			unknown		1		-5	-15	1	0																App - waistline, Apps
4311501653821		de	Bio Spagetti Vollkorn																		500	100g	Folienpack	de:folienpack	Edeka	edeka		Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Getreide und Kartoffeln, Getreideprodukte, Teigwaren, Nudeln	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:noodles	"Bio, EU-Öko-Verordnung, EG-Öko-Verordnung"	en:organic,en:eu-organic,en:eg-oko-verordnung	Deutschland	en:germany			0																								off	serving	100g					348	kcal			2	g			0.5	g			67	g			3	g			6.8	g			12	g			0.01	g			0.004	g			0	% vol / *	348	kcal																																					en:cereals	en:cereals-and-potatoes,en:cereals		unknown	a	-6	unknown		1		-5	-15	1	15																App - Open Food Facts, Apps
5903890431273		pl									"Wegańskie spagetti z sosem carbonara"										300g	300			Food House	food-house		"Żywność i napoje na bazie roślin, Żywność na bazie roślin, Posiłki, Dania z makaronem, Wegańskie"	"en:plant-based-foods-and-beverages,en:plant-based-foods,en:meals,en:pasta-dishes,pl:wegańskie"	"Wegetariańskie, Wegańskie"	en:vegetarian,en:vegan	Polska	en:poland			0																		"Makaron spaghetti gotowany 53 % (woda, semolina z pszenicy twardej, olej rzepakowy, sól), wegański sos carbonara 35 % [mieszanka roztworu soczewicy, oleju rzepakowego i tłuszczu kokosowego [roztwór soczewicy (woda, mąka z soczewicy), olej rzepakowy, tłuszcz kokosowy, cukier, skrobia modyfikowana, emulgator: monostearynian polioksyetylenosorbitolu, stabilizatory: metyloceluloza, guma ksantanowa; regulator kwasowości: cytryniany sodu, naturalny aromat, sól, barwnik: karoteny], woda, skrobia, sól, czosnek, przyprawy, cukier, substancja konserwująca: sorbinian potasu], wegańska siekanka na bazie sojowej, smażona 10 % [wegańska siekanka na bazie sojowej (baza sojowa 91 %* (woda, białko sojowe, ekstrakt słodu jęczmiennego), ekstrakty przypraw, ocet spirytusowy, glukoza, sól, ekstrakt drożdżowy, naturalny aromat, przyprawy, cukier karmelizowany), woda, olej rzepakowy, aromat], wegańska posypka 1,7 % [woda, skrobia, skrobia modyfikowana, olej kokosowy, sól, białko ryżu, aromaty, ekstrakt z owoców oliwek, barwnik: karoteny], szczypiorek liofilizowany, pieprz czarny. Może zawierać mleko, jaja, gorczycę, seler, nasiona sezamu."		Seler, Jaja, Gluten, Gorczyca, Nasiona sezamu	en:celery,en:eggs,en:gluten,en:mustard,en:sesame-seeds	Seler, Jaja, Mleko, Gorczyca, Nasiona sezamu	en:celery,en:eggs,en:milk,en:mustard,en:sesame-seeds		100g	100g	452	kJ			108	kcal			4.5	g			1.3	g			11	g			1.5	g			2.3	g			4.3	g			0.78	g			0.312	g					452	kJ																																					en:one-dish-meals	en:composite-foods,en:one-dish-meals	4	en:4-ultra-processed-food-and-drink-products	b	1	unknown		1		-5	-15	1	0																App - smoothie-openfoodfacts, Apps
0041220168729		en		Thin spagetti																												United States	en:united-states			0																									100g	100g					357.14285714286	kcal			1.7857142857143	g			0	g			75	g			3.5714285714286	g			3.5714285714286	g			12.5	g			0	g			0	g					357.14285714286	kcal																																								unknown			unknown		1		-5	-15	1	0																App - Yuka, Apps
4337185865312		de	Spagetti																		1pcs				K	k				"Bio, EU-Öko-Verordnung, Nutriscore, Nutriscore Note A"	en:organic,en:eu-organic,en:nutriscore,en:nutriscore-grade-a	Deutschland	en:germany			0																									100g	100g					360	kcal			15	g			0.3	g			73	g			3	g			3	g			12	g													360	kcal																																								unknown			unknown		1		-5	-15	1	15																App - Speisekammer, Apps, App - Yuka
4056489500575		hu						Spagetti durum száraztészta													500 g				Combino	combino		Gl	hu:gl			Magyarország	en:hungary			0																									100g	100g	1519	kJ			358	kcal			1.5	g			0	g			73	g			1.6	g			2.3	g			12	g			0.02	g			0.008	g					1519	kJ																																								unknown	a	-3	unknown		1		-5	-15	1	0																App - smoothie-openfoodfacts, Apps
4388040003448		de	Spagetti																		5kg				Economy	economy						Deutschland	en:germany			0																									100g	100g					361	kcal			2.5	g			0.8	g			70	g			3	g							13	g													361	kcal																																								unknown			unknown		1		-5	-15	1	0																App - Speisekammer, Apps
9009473002833		de	Spagetti																		1kg				Jeden Tag	jeden-tag						Deutschland	en:germany			0																									100g	100g					360	kcal			2.4	g			1.3	g			69	g			0.5	g							13	g													360	kcal																																								unknown			unknown		1		-5	-15	1	0																App - Speisekammer, Apps
